Date,Quantity,Product_ID,Category,Price
2022-01-01,150,P001,Electronics,29.99
2022-01-02,145,P001,Electronics,29.99
2022-01-03,160,P001,Electronics,29.99
2022-01-04,155,P001,Electronics,29.99
2022-01-05,170,P001,Electronics,29.99
2022-01-06,165,P001,Electronics,29.99
2022-01-07,180,P001,Electronics,29.99
2022-01-08,175,P001,Electronics,29.99
2022-01-09,190,P001,Electronics,29.99
2022-01-10,185,P001,Electronics,29.99
2022-01-11,200,P001,Electronics,29.99
2022-01-12,195,P001,Electronics,29.99
2022-01-13,210,P001,Electronics,29.99
2022-01-14,205,P001,Electronics,29.99
2022-01-15,220,P001,Electronics,29.99
2022-01-16,215,P001,Electronics,29.99
2022-01-17,230,P001,Electronics,29.99
2022-01-18,225,P001,Electronics,29.99
2022-01-19,240,P001,Electronics,29.99
2022-01-20,235,P001,Electronics,29.99
2022-01-21,250,P001,Electronics,29.99
2022-01-22,245,P001,Electronics,29.99
2022-01-23,260,P001,Electronics,29.99
2022-01-24,255,P001,Electronics,29.99
2022-01-25,270,P001,Electronics,29.99
2022-01-26,265,P001,Electronics,29.99
2022-01-27,280,P001,Electronics,29.99
2022-01-28,275,P001,Electronics,29.99
2022-01-29,290,P001,Electronics,29.99
2022-01-30,285,P001,Electronics,29.99
2022-01-31,300,P001,Electronics,29.99
2022-02-01,295,P001,Electronics,29.99
2022-02-02,310,P001,Electronics,29.99
2022-02-03,305,P001,Electronics,29.99
2022-02-04,320,P001,Electronics,29.99
2022-02-05,315,P001,Electronics,29.99
2022-02-06,330,P001,Electronics,29.99
2022-02-07,325,P001,Electronics,29.99
2022-02-08,340,P001,Electronics,29.99
2022-02-09,335,P001,Electronics,29.99
2022-02-10,350,P001,Electronics,29.99
2022-02-11,345,P001,Electronics,29.99
2022-02-12,360,P001,Electronics,29.99
2022-02-13,355,P001,Electronics,29.99
2022-02-14,370,P001,Electronics,29.99
2022-02-15,365,P001,Electronics,29.99
2022-02-16,380,P001,Electronics,29.99
2022-02-17,375,P001,Electronics,29.99
2022-02-18,390,P001,Electronics,29.99
2022-02-19,385,P001,Electronics,29.99
2022-02-20,400,P001,Electronics,29.99
2022-02-21,395,P001,Electronics,29.99
2022-02-22,410,P001,Electronics,29.99
2022-02-23,405,P001,Electronics,29.99
2022-02-24,420,P001,Electronics,29.99
2022-02-25,415,P001,Electronics,29.99
2022-02-26,430,P001,Electronics,29.99
2022-02-27,425,P001,Electronics,29.99
2022-02-28,440,P001,Electronics,29.99 
